ambig_basecount	ambig_full_basecount	error	family	fasta_file	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1665-24	Populicerus nitidissimus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1696-24	Selenocephalus corsicus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	654	1536	Cicadellidae	BGENL1693-24	Opsius cypriacus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1539	Cicadellidae	BGENL1680-24	Aglena ornata	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1374	Cicadellidae	BGENL1694-24	Opsius scutellaris	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	113	198	Coreidae,Cicadellidae,Staphylinidae,Buprestidae,Cimbicidae	BGENL1694-24	Opsius scutellaris	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	64	123	Cicadellidae,Staphylinidae,Buprestidae,Chironomidae	BGENL1694-24	Opsius scutellaris	2
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1619-24	Zygina angusta	0
0	0	None	Cixiidae	data/BGE00177_S2M_cox1.fasta	Cixiidae	BLAST	None	97	174		BGENL1621-24	Cixius simplex	2
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1386	Cicadellidae	BGENL1632-24	Tremulicerus tremulae	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	657	1539	Delphacidae	BGENL1627-24	Paraliburnia clypealis	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1686-24	Araldus propinquus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	577	1395	Cicadellidae	BGENL1685-24	Paragygrus rotundiceps	0
0	0	None	Aphalaridae	data/BGE00177_S2M_cox1.fasta	Aphalaridae	BLAST	None	657	1530	Triozidae,Carsidaridae,Aphalaridae,Liviidae	BGENL1639-24	Craspedolepta innoxia	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1539	Cercopidae,Cicadellidae	BGENL1692-24	Xestocephalus freyi	0
0	0	None	Miridae	data/BGE00177_S2M_cox1.fasta	Miridae	BLAST	None	97	201	Mesoveliidae,Corixidae,Miridae,Anthocoridae,Aradidae,Staphylinidae	BGENL1649-24	Brachycoleus pilicornis	1
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1296	Cicadellidae	BGENL1684-24	Paraglena paludosa	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	107	267	Veliidae,Reduviidae,Cicadellidae,Curculionidae	BGENL1684-24	Paraglena paludosa	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1509	Cicadellidae	BGENL1635-24	Zygina suavis	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1676-24	Doratulina acuticeps	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	635	1536	Cicadellidae	BGENL1633-24	Metidiocerus poecilus	0
0	0	None	Cixiidae	data/BGE00177_S2M_cox1.fasta	Cixiidae	BLAST	None	655	1569	Cixiidae	BGENL1622-24	Cixius dubius	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1664-24	Assiuta salina	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1663-24	Austroagallia hilaris	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	203	1020	Cicadellidae	BGENL1705-24	Laburrus quadratus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	313	360	Cicadellidae	BGENL1705-24	Laburrus quadratus	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	127	471	Delphacidae	BGENL1656-24	Calligypona reyi	0
0	0	None	Aphrophoridae	data/BGE00177_S2M_cox1.fasta	Aphrophoridae	BLAST	None	657	1539	Cercopidae,Aphrophoridae	BGENL1661-24	Neophilaenus modestus	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	654	1539	Delphacidae	BGENL1636-24	Delphax pulchellus	0
0	0	None	Aphalaridae	data/BGE00177_S2M_cox1.fasta	Aphalaridae	BLAST	None	655	1530	Triozidae,Carsidaridae,Aphalaridae,Liviidae	BGENL1641-24	Aphalara exilis	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	654	1539	Delphacidae	BGENL1626-24	Paraliburnia adela	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1671-24	Euscelis	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	655	1543	Cicadellidae	BGENL1667-24	Tremulicerus vitreus	0
0	0	None	Psyllidae	data/BGE00177_S2M_cox1.fasta	Psyllidae	BLAST	None	131	165	Psyllidae	BGENL1630-24	Cacopsylla visci	0
0	0	None	Psyllidae	data/BGE00177_S2M_cox1.fasta	Psyllidae	BLAST	None	558	864	Psyllidae	BGENL1630-24	Cacopsylla visci	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	167	984	Cicadellidae	BGENL1698-24	Amblytelinus insularis	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	705	Culicidae,Limoniidae,Lonchopteridae,Drosophilidae	BGENL1698-24	Amblytelinus insularis	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	656	1539	Alydidae,Delphacidae	BGENL1624-24	Kelisia guttula	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1539	Cicadellidae	BGENL1673-24	Fieberiella ida	0
0	0	None	Aphrophoridae	data/BGE00177_S2M_cox1.fasta	Aphrophoridae	BLAST	None	657	1539	Cercopidae,Aphrophoridae	BGENL1658-24	Neophilaenus angustipennis	0
0	0	None	Aphalaridae	data/BGE00177_S2M_cox1.fasta	Aphalaridae	BLAST	None	280	1092	Triozidae,Phacopteronidae,Carsidaridae,Aphalaridae,Liviidae	BGENL1640-24	Craspedolepta artemisiae	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1702-24	Thamnotettix exemtus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1515	Cicadellidae	BGENL1617-24	Ribautiana tenerrima	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1062	Cicadellidae	BGENL1669-24	Chloropelix canariensis	0
0	0	None	Saldidae	data/BGE00177_S2M_cox1.fasta	Saldidae	BLAST	None	211	255	Saldidae	BGENL1655-24	Salda morio	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1687-24	Canariotettix brachypterus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1691-24	Planaphrodes trifasciatus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1536	Cicadellidae	BGENL1678-24	Selenocephalus nervosus	0
0	0	None	Aphrophoridae	data/BGE00177_S2M_cox1.fasta	Aphrophoridae	BLAST	None	657	1539	Cercopidae,Aphrophoridae	BGENL1657-24	Neophilaenus albipennis	0
0	0	None	Aphrophoridae	data/BGE00177_S2M_cox1.fasta	Aphrophoridae	BLAST	None	657	1539	Cercopidae,Aphrophoridae	BGENL1660-24	Neophilaenus longiceps	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	654	1539	Delphacidae	BGENL1628-24	Megamelodes lequesnei	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	1	87		BGENL1682-24	Brachypterona viridissima	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	136	285	Veliidae,Mesoveliidae,Tingidae,Cymidae,Cicadellidae	BGENL1682-24	Brachypterona viridissima	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	1	51	Veliidae,Nabidae,Delphacidae,Culicidae	BGENL1682-24	Brachypterona viridissima	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1703-24	Thamnotettix minoidis	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	657	1536	Cicadellidae	BGENL1677-24	Anoplotettix graecus	0
0	0	None	Delphacidae	data/BGE00177_S2M_cox1.fasta	Delphacidae	BLAST	None	80	330	Delphacidae	BGENL1637-24	Ribautodelphax imitans	0
0	0	None	Cixiidae	data/BGE00177_S2M_cox1.fasta	Cixiidae	BLAST	None	655	1443	Cixiidae	BGENL1623-24	Cixius stigmatus	0
0	0	None	Cixiidae	data/BGE00177_S2M_cox1.fasta	Cixiidae	BLAST	None	70	150		BGENL1623-24	Cixius stigmatus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	656	1543	Cicadellidae	BGENL1668-24	Viridicerus ustulatus	0
0	0	None	Cicadellidae	data/BGE00177_S2M_cox1.fasta	Cicadellidae	BLAST	None	655	1536	Cicadellidae	BGENL1683-24	Arocephalus lakonicus	0
