ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
25	52	data/BGE00295_MGE_cox1_insect_universal.fas	BGE00295-NC not in BOLD	None	BLAST	family	657	1437		BGE00295-NC_cns	None	0
32	70	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	656	1527	Psychodidae,Xylophagaidae,Cosmopterigidae	BGSNL382-23_cns	Afriberina salemae	0
7	10	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1527	Geometridae	BGSNL383-23_cns	Afriberina salemae	0
20	37	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1476	Noctuidae,Geometridae	BGSNL396-23_cns	Athroolopha chrysitaria	0
33	45	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	618	1476	Geometridae	BGSNL398-23_cns	Athroolopha chrysitaria	0
29	56	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	656	1515	Geometridae	BGSNL405-23_cns	Charissa pentheri	0
0	0	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	656	1512	Tettigoniidae,Acrididae,Ninidae,Curculionidae,Bostrichidae,Ptinidae,Vespidae,Tetracampidae	BGSNL412-23_cns	Compsoptera argentaria	0
12	37	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Noctuidae,Geometridae	BGSNL430-23_cns	Enanthyperythra legataria	0
15	50	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	611	1320	Geometridae	BGSNL435-23_cns	Eumannia arenbergeri	0
12	16	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1446	Noctuidae,Geometridae	BGSNL446-23_cns	Lycia isabellae	0
15	27	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	566	1095	Gelechiidae,Depressariidae,Geometridae	BGSNL453-23_cns	Narraga nelvae	0
7	10	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	633	1431	Geometridae	BGSNL458-23_cns	Nychiodes aphrodite	0
15	33	data/BGE00295_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1476	Geometridae	BGSNL468-23_cns	Perconia baeticaria	0
