ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
27	60	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1524	Noctuidae	BHNHM381-24_r_1_s_50	Heptapotamia eustratii	0
23	42	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	639	1488	Noctuidae	BHNHM381-24_r_1_s_100	Heptapotamia eustratii	0
12	20	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1491	Noctuidae	BHNHM381-24_r_1.3_s_50	Heptapotamia eustratii	0
14	22	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	639	1464	Noctuidae	BHNHM381-24_r_1.3_s_100	Heptapotamia eustratii	0
1	5	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	639	1473	Noctuidae	BHNHM381-24_r_1.5_s_50	Heptapotamia eustratii	0
1	5	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	639	1464	Noctuidae	BHNHM381-24_r_1.5_s_100	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM382-24_r_1_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM382-24_r_1_s_100	Heptapotamia eustratii	0
0	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM382-24_r_1.3_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM382-24_r_1.3_s_100	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM382-24_r_1.5_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM382-24_r_1.5_s_100	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM383-24_r_1_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM383-24_r_1_s_100	Heptapotamia eustratii	0
0	3	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM383-24_r_1.3_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM383-24_r_1.3_s_100	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1545	Noctuidae	BHNHM383-24_r_1.5_s_50	Heptapotamia eustratii	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1536	Noctuidae	BHNHM383-24_r_1.5_s_100	Heptapotamia eustratii	0
7	10	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1_s_50	Hydraecia mongoliensis	0
7	8	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1_s_100	Hydraecia mongoliensis	0
5	7	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1.3_s_50	Hydraecia mongoliensis	0
6	7	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1.3_s_100	Hydraecia mongoliensis	0
4	5	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1.5_s_50	Hydraecia mongoliensis	0
4	5	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM384-24_r_1.5_s_100	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1_s_50	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1_s_100	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1.3_s_50	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1.3_s_100	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1.5_s_50	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM385-24_r_1.5_s_100	Hydraecia mongoliensis	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1_s_50	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1_s_100	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1.3_s_50	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1.3_s_100	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1.5_s_50	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM386-24_r_1.5_s_100	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1_s_50	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1_s_100	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1.3_s_50	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1.3_s_100	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1.5_s_50	Hypobarathra icterias	0
1	1	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM387-24_r_1.5_s_100	Hypobarathra icterias	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1_s_50	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1_s_100	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1.3_s_50	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1.3_s_100	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1.5_s_50	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM388-24_r_1.5_s_100	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM389-24_r_1_s_50	Leucochlaena muscosa	0
0	0	data/BGE00150_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Noctuidae	BLAST	family	657	1533	Noctuidae	BHNHM389-24_r_1_s_100	Leucochlaena muscosa	0
