ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons
23	35	data/BGE00294_MGE_cox1_insect_universal.fas	BGE00294-NC not in BOLD	None	BLAST	family	639	1464		BGE00294-NC_cns	None	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Geometridae	BGSNL286-23_cns	Eupithecia inconspicuata	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Geometridae	BGSNL287-23_cns	Eupithecia inconspicuata	0
1	2	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1527	Geometridae	BGSNL288-23_cns	Eupithecia inconspicuata	0
2	15	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	656	1509	Geometridae	BGSNL289-23_cns	Eupithecia karadaghensis	0
11	25	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Geometridae	BGSNL290-23_cns	Eupithecia karadaghensis	0
25	46	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	633	1455	Geometridae	BGSNL291-23_cns	Eupithecia karadaghensis	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1524	Geometridae	BGSNL292-23_cns	Eupithecia latipennata	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1524	Geometridae	BGSNL293-23_cns	Eupithecia latipennata	0
3	6	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1500	Geometridae	BGSNL294-23_cns	Eupithecia latipennata	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Geometridae	BGSNL295-23_cns	Eupithecia maspalomae	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1524	Geometridae	BGSNL296-23_cns	Eupithecia maspalomae	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1524	Geometridae	BGSNL297-23_cns	Eupithecia maspalomae	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1497	Geometridae	BGSNL298-23_cns	Eupithecia moecha	0
1	10	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1524	Geometridae	BGSNL299-23_cns	Eupithecia moecha	0
0	0	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1527	Geometridae	BGSNL300-23_cns	Eupithecia mystica	0
8	22	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	657	1515	Geometridae	BGSNL301-23_cns	Eupithecia mystica	0
59	69	data/BGE00294_MGE_cox1_insect_universal.fas	None	Geometridae	BLAST	family	636	1494	Geometridae	BGSNL302-23_cns	Eupithecia mystica	0
