ambig_basecount	ambig_full_basecount	error	family	fasta_file	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons
0	2	BGE00408-NC not in BOLD	None	data/BGE00408_MGE-BGE_r_1_s_100.fas	None	BLAST	None	89	627		BGE00408-NC	None	0
12	39	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	645	1452	Braconidae	BGLIB666-24	Bracon abbreviator	0
12	68	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	625	1461	Ichneumonidae	BGLIB667-24	Bracon conjugellae	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1509	Braconidae	BGLIB668-24	Bracon crassiceps	0
9	25	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	656	1467	Tettigoniidae,Acrididae,Nitidulidae,Curculionidae,Bostrichidae,Ptinidae,Vespidae,Tetracampidae	BGLIB669-24	Bracon curticaudis	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	656	1503	Braconidae	BGLIB670-24	Bracon delibator	0
0	1	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1506	Braconidae	BGLIB671-24	Bracon erraticus	0
3	7	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	295	963	Corylophidae,Braconidae	BGLIB672-24	Bracon exarator	0
1	6	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	229	774		BGLIB673-24	Bracon exhilarator	0
1	43	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	402	1170	Braconidae	BGLIB674-24	Bracon flavipes	0
1	1	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	504	1206	Tettigoniidae,Nitidulidae,Curculionidae,Bostrichidae,Ptinidae,Ulidiidae,Vespidae,Tetracampidae	BGLIB675-24	Bracon immutator	1
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1524	Braconidae	BGLIB676-24	Bracon laetus	0
10	42	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	654	1506	Braconidae	BGLIB677-24	Bracon longicollis	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	656	1527	Braconidae	BGLIB678-24	Bracon luteator	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	656	1527	Braconidae	BGLIB679-24	Bracon minutator	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1521	Braconidae	BGLIB680-24	Bracon nigricollis	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1527	Braconidae	BGLIB681-24	Bracon praecox	0
7	19	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	657	1476	Braconidae	BGLIB682-24	Bracon pulcher	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	657	1527	Braconidae	BGLIB683-24	Bracon speerschneideri	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	657	1500	Braconidae	BGLIB684-24	Bracon stabilis	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	656	1527	Braconidae	BGLIB685-24	Bracon subrugosus	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1527	Braconidae	BGLIB686-24	Bracon subsinuatus	0
0	0	None	Braconidae	data/BGE00408_MGE-BGE_r_1_s_100.fas	Braconidae	BLAST	None	655	1512	Braconidae	BGLIB687-24	Bracon terebella	0
