ambig_basecount	ambig_full_basecount	dataset	error	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	species	stop_codons	process_id
20	41	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	656	1491	Diprionidae	BGLIB381-23_r_1_s_50	Gilpinia socia	0	BGLIB381-23
36	54	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	655	1428	Tenthredinidae,Diprionidae,Cimbicidae	BGLIB381-23_r_1_s_100	Gilpinia socia	0	BGLIB381-23
15	31	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	599	1323	Tenthredinidae,Diprionidae,Cimbicidae	BGLIB381-23_r_1.3_s_100	Gilpinia socia	0	BGLIB381-23
16	33	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	657	1473	Diprionidae,Cimbicidae	BGLIB381-23_r_1.3_s_50	Gilpinia socia	0	BGLIB381-23
3	11	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	637	1353	Diprionidae	BGLIB381-23_r_1.5_s_50	Gilpinia socia	0	BGLIB381-23
8	17	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Diprionidae	BLAST	family	587	1275	Diprionidae	BGLIB381-23_r_1.5_s_100	Gilpinia socia	0	BGLIB381-23
17	45	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	517	1314	Ichneumonidae,Argidae,Argyresthiidae,Crambidae	BGLIB383-23_r_1_s_50	Lasioglossum convexiusculum	0	BGLIB383-23
14	31	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	434	1029	Ichneumonidae,Halictidae,Saturniidae,Geometridae	BGLIB383-23_r_1_s_100	Lasioglossum convexiusculum	0	BGLIB383-23
8	38	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	364	1035	Halictidae	BGLIB383-23_r_1.3_s_50	Lasioglossum convexiusculum	0	BGLIB383-23
4	21	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	289	792	Halictidae	BGLIB383-23_r_1.3_s_100	Lasioglossum convexiusculum	13	BGLIB383-23
2	16	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	328	894	Halictidae	BGLIB383-23_r_1.5_s_50	Lasioglossum convexiusculum	0	BGLIB383-23
2	12	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	289	777	Halictidae	BGLIB383-23_r_1.5_s_100	Lasioglossum convexiusculum	13	BGLIB383-23
26	70	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	621	1362	Cecidomyiidae,Ichneumonidae,Papilionidae	BGLIB384-23_r_1_s_50	Lasioglossum convexiusculum	0	BGLIB384-23
10	32	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	593	1317	Staphylinidae,Tenebrionidae,Ichneumonidae	BGLIB384-23_r_1_s_100	Lasioglossum convexiusculum	0	BGLIB384-23
3	30	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	482	1173	Cecidomyiidae,Ichneumonidae,Crabronidae	BGLIB384-23_r_1.3_s_50	Lasioglossum convexiusculum	4	BGLIB384-23
3	13	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	392	1026	Ichneumonidae,Diprionidae,Cimbicidae	BGLIB384-23_r_1.3_s_100	Lasioglossum convexiusculum	0	BGLIB384-23
6	12	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	237	645	Rhaphidophoridae,Ichneumonidae,Halictidae,Nymphalidae,Geometridae,Psychomyiidae	BGLIB384-23_r_1.5_s_50	Lasioglossum convexiusculum	1	BGLIB384-23
3	3	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Halictidae	BLAST	family	153	540	Culicidae,Geometridae	BGLIB384-23_r_1.5_s_100	Lasioglossum convexiusculum	0	BGLIB384-23
35	58	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	653	1515	Enicocephalidae,Pentatomidae,Cercopidae,Lampyridae,Sphaeriusidae,Agromyzidae,Geometridae	BGLIB385-23_r_1_s_50	Mutilla quinquemaculata	0	BGLIB385-23
30	39	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	652	1503	Phasmatidae,Cercopidae,Carabidae,Mycetophilidae,Limoniidae,Agromyzidae,Geometridae	BGLIB385-23_r_1_s_100	Mutilla quinquemaculata	0	BGLIB385-23
21	43	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	652	1518	Lampyridae,Drosophilidae,Agromyzidae,Muscidae,Anthomyiidae	BGLIB385-23_r_1.3_s_50	Mutilla quinquemaculata	0	BGLIB385-23
16	36	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	652	1506	Aphididae,Mutillidae,Formicidae	BGLIB385-23_r_1.3_s_100	Mutilla quinquemaculata	0	BGLIB385-23
6	22	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	616	1470	Aphididae,Tipulidae,Drosophilidae,Tachinidae,Mutillidae	BGLIB385-23_r_1.5_s_50	Mutilla quinquemaculata	0	BGLIB385-23
4	13	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Mutillidae	BLAST	family	595	1449	Drosophilidae,Agromyzidae,Muscidae,Tachinidae,Mutillidae	BGLIB385-23_r_1.5_s_100	Mutilla quinquemaculata	0	BGLIB385-23
49	66	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	651	954	Vespidae,Gelechiidae	BGLIB387-23_r_1_s_50	Arachnospila nuda	0	BGLIB387-23
22	45	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	591	753	Tettigoniidae,Curculionidae,Dermestidae,Bostrichidae,Ulidiidae,Vespidae,Tetracampidae	BGLIB387-23_r_1_s_100	Arachnospila nuda	0	BGLIB387-23
20	26	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	612	882	Mycetophilidae,Cecidomyiidae,Pompilidae	BGLIB387-23_r_1.3_s_50	Arachnospila nuda	0	BGLIB387-23
31	32	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	511	666	Nitidulidae,Curculionidae,Dermestidae,Bostrichidae,Ptinidae,Vespidae,Tetracampidae	BGLIB387-23_r_1.3_s_100	Arachnospila nuda	17	BGLIB387-23
4	7	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	495	561	Pompilidae	BGLIB387-23_r_1.5_s_50	Arachnospila nuda	0	BGLIB387-23
3	11	data/BGE00404_MGE-BGE_r1_1.3_1.5_s50_100.fasta	None	Pompilidae	BLAST	family	305	429	Tettigoniidae,Carabidae,Ulidiidae,Ichneumonidae,Vespidae	BGLIB387-23_r_1.5_s_100	Arachnospila nuda	12	BGLIB387-23
