ambig_basecount	ambig_full_basecount	error	family	identification	identification_method	identification_rank	nuc_basecount	nuc_full_basecount	obs_taxon	process_id	species	stop_codons	fasta_file
5	8	BGE00169-NC not in BOLD	None	None	BLAST	family	453	792		BGE00169-NC	None	0	data/BGE00169_MGE_cox1_insect_universal.fas
16	67	None	Tortricidae	Tortricidae	BLAST	family	566	1356	Oecophoridae,Noctuidae,Pyralidae,Geometridae	BGENL191-23	Abrepagoge treitschkeana	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	656	1515	Tortricidae	BGENL192-23	Clepsis canariensis	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL193-23	Cnephasia fulturata	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL194-23	Acleris notana	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL195-23	Aethes piercei	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL196-23	Phiaris bipunctana	0	data/BGE00169_MGE_cox1_insect_universal.fas
7	28	None	Tortricidae	Tortricidae	BLAST	family	366	969	Libellulidae,Lauxaniidae,Tortricidae,Nymphalidae,Geometridae	BGENL197-23	Cochylimorpha jucundana	17	data/BGE00169_MGE_cox1_insect_universal.fas
8	21	None	Tortricidae	Tortricidae	BLAST	family	648	1347	Drosophilidae,Nymphalidae	BGENL198-23	Pelochrista fusculana	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL199-23	Cydia vallesiaca	0	data/BGE00169_MGE_cox1_insect_universal.fas
0	0	None	Tortricidae	Tortricidae	BLAST	family	657	1515	Tortricidae	BGENL200-23	Phtheochroa syrtana	0	data/BGE00169_MGE_cox1_insect_universal.fas
14	56	None	Tortricidae	Tortricidae	BLAST	family	584	1251	Tortricidae	BGENL201-23	Eucosma mirificana	0	data/BGE00169_MGE_cox1_insect_universal.fas
